Catalog Number	Genome Tax ID	Assembly_URL	Illumina_R1_URL	Illumina_R2_URL	ONT_URL	
BAA-811	1280	https:/atccbioinformatics.blob.core.windows.net/publicdata/BAA-811.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK07_BAA-881_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK07_BAA-881_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CA03_BAA-881.fastq.gz	
BAA-43	46170	https:/atccbioinformatics.blob.core.windows.net/publicdata/BAA-43.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK06_BAA-43_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK06_BAA-43_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CA02_BAA-43.fastq.gz	
10241	1590	https:/atccbioinformatics.blob.core.windows.net/publicdata/10241.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK09_10241_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK09_10241_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CA05_10241.fastq.gz	
BAA-3091	287	https:/atccbioinformatics.blob.core.windows.net/publicdata/BAA-3091.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILM3_2020BE03_BAA-3091-new_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILM3_2020BE03_BAA-3091-new_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2020AG01_BAA-3091.fastq.gz	
14987	471	https:/atccbioinformatics.blob.core.windows.net/publicdata/14987.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ28_14987_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ28_14987_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021DC03_14987.fastq.gz	
29944	587	https:/atccbioinformatics.blob.core.windows.net/publicdata/29944.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI25_29944_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI25_29944_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CJ01_29944.fastq.gz	
43243	483218	https:/atccbioinformatics.blob.core.windows.net/publicdata/43243.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI26_43243_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI26_43243_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CP01_43243.fastq.gz	
4135	59201	https:/atccbioinformatics.blob.core.windows.net/publicdata/4135.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI27_7001_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI27_7001_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CJ03_7001.fastq.gz	
19118	1639	https:/atccbioinformatics.blob.core.windows.net/publicdata/19118.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ12_19118_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ12_19118_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CT06_19118.fastq.gz	
25260	28123	https:/atccbioinformatics.blob.core.windows.net/publicdata/25260.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI31_25260_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI31_25260_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CT01_25260.fastq.gz	
33909	330779	https:/atccbioinformatics.blob.core.windows.net/publicdata/33909.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK41_33909D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK41_33909D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021DF02_33909D-5.fastq.gz	
33267	1381	https:/atccbioinformatics.blob.core.windows.net/publicdata/33267.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK03_33267_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK03_33267_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CR02_33267.fastq.gz	
29366	324602	https:/atccbioinformatics.blob.core.windows.net/publicdata/29366.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK40_29366D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK40_29366D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021DF01_29366D-5.fastq.gz	
23373	69219	https:/atccbioinformatics.blob.core.windows.net/publicdata/23373.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK31_23373D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK31_23373D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CY01_23373D-5.fastq.gz	
BAA-1687	1280	https:/atccbioinformatics.blob.core.windows.net/publicdata/BAA-1687.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ08_BAA-1687_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ08_BAA-1687_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CJ05_BAA-1687.fastq.gz	
33155	91891	https:/atccbioinformatics.blob.core.windows.net/publicdata/33155.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ14_33155_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AJ14_33155_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CT07_33155.fastq.gz	
700576	1282	https:/atccbioinformatics.blob.core.windows.net/publicdata/700576.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI22_700576_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AI22_700576_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021CI_Half04_700576.fastq.gz	
BAA-381	360107	https:/atccbioinformatics.blob.core.windows.net/publicdata/BAA-381.fasta.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK38_BAA-381D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ILN1_2021AK38_BAA-381D-5_R1.fastq.gz	https:/atccbioinformatics.blob.core.windows.net/publicdata/ONG3_2021DE04_BAA-381D-5.fastq.gz	
